Date,AAPL,AXP,BA,HD,JNJ,KO,NKE,PFE,PG
2009-05-07,16.042175,22.08506,33.24556,19.698866,39.617275,13.923541,9.345155,9.607936,36.898293
2009-05-08,16.058332,24.15155,35.002174,19.614252,39.682232,13.962584,9.581068,9.770778,37.063583
2009-05-11,16.10557,22.14459,34.154423,19.175821,39.054291,13.907277,9.355713,9.60115,36.201149
2009-05-12,15.465425,21.642841,33.680904,18.952753,39.696667,14.44405,8.97543,10.130399,36.610806
2009-05-13,14.852626,20.486294,32.802605,19.098902,39.804932,14.193556,8.718386,10.361095,36.625175
2009-05-14,15.282701,21.022045,33.176826,18.868143,39.711102,14.606709,8.970146,10.408595,36.510174
2009-05-15,15.216824,20.605356,32.840786,18.768152,39.992588,14.626224,8.758879,10.184678,36.416744
2009-05-18,15.742614,22.221125,33.887104,20.014236,40.454506,14.987329,9.014163,10.306815,37.746357
2009-05-19,15.842053,21.081575,34.078026,18.945066,40.339016,15.172763,9.162049,10.245743,38.055401
2009-05-20,15.64566,20.392748,34.047497,18.329718,40.324593,15.289871,8.924373,10.252531,38.824409
2009-05-21,15.435586,20.537321,33.062267,17.606676,40.040611,15.185774,9.04057,10.062547,38.105705
2009-05-22,15.226769,19.899515,32.79496,17.583603,39.880424,15.387468,9.227193,10.15075,38.112892
2009-05-26,16.255972,20.894495,33.726723,18.306635,40.237198,15.358192,9.537053,10.191464,38.65192
2009-05-27,16.538132,19.984556,33.276112,17.94512,39.479942,15.169506,9.579305,9.947195,37.214516
2009-05-28,16.789219,20.664881,33.848919,17.460539,39.705662,15.257342,9.702546,9.96755,37.796661
2009-05-29,16.881203,21.132607,34.2537,17.814358,40.164391,15.992557,10.044101,10.306815,37.329506
2009-06-01,17.321232,22.102062,36.430359,18.583544,40.615852,15.947013,10.43319,10.015049,38.350079
2009-06-02,17.338623,21.01355,37.575958,18.845066,40.928936,16.155218,10.181424,10.164323,38.601604
2009-06-03,17.520102,20.817949,36.942062,18.745075,40.892544,15.969781,10.241287,10.103254,38.673481
2009-06-04,17.866899,21.472765,38.622295,18.898905,40.659534,16.187746,10.307569,9.933623,38.342888
2009-06-05,17.982502,21.217638,40.210873,18.591242,40.725071,16.083647,10.441921,9.845417,38.220695
2009-06-08,17.880575,21.812927,40.348328,18.891212,40.506618,16.064125,10.389967,9.70971,38.19194
2009-06-09,17.740116,22.901442,39.981735,18.902866,40.557594,15.969781,10.508201,9.587575,37.667294
2009-06-10,17.433088,22.697353,39.943554,18.933918,40.528454,15.748572,10.21979,9.533293,37.430122
2009-06-11,17.395803,21.795923,38.691021,18.809708,40.812447,16.07618,10.142762,9.926837,37.379814
2009-06-12,17.025387,21.396233,39.286739,18.747604,40.819729,16.178766,10.140965,10.015049,37.767914
2009-06-15,16.916012,21.455751,37.820362,18.514715,39.865871,15.92065,10.020947,9.587575,36.891098
2009-06-16,16.948322,20.996544,37.293377,18.010118,39.771202,15.827992,9.911675,9.607936,36.007088
2009-06-17,16.852612,20.367241,37.079544,18.359446,40.193523,15.861082,9.786277,9.892914,35.94241
2009-06-18,16.8899,20.494804,37.392681,18.126568,40.623119,16.397175,10.085437,10.123613,36.7761
2009-06-19,17.337379,20.954016,36.995529,18.258533,40.841568,16.1523,10.157092,10.177893,36.395199
2009-06-22,17.075111,19.754944,35.819363,18.048943,40.40469,15.880939,9.899131,10.035403,36.337692
2009-06-23,16.657459,19.891012,33.505222,17.761703,40.055183,15.818064,9.591016,9.994691,36.330517
2009-06-24,16.932167,19.499823,31.557709,17.606443,40.382839,15.718783,9.497867,9.987909,36.330517
2009-06-25,17.384619,20.783939,32.481827,18.297352,40.972649,15.834604,9.186167,10.401805,37.142635
2009-06-26,17.705309,20.205664,31.985401,18.3284,41.212921,15.92727,9.107347,10.306815,37.192951
2009-06-29,17.646889,20.409758,32.573479,18.530247,41.475056,15.980217,9.270361,10.354308,37.53793
2009-06-30,17.704067,19.91279,32.45892,18.343924,41.35854,15.880939,9.275734,10.177893,36.725796
2009-07-01,17.753786,19.707153,32.252705,18.406031,41.555161,16.274734,9.390382,10.110044,37.372623
2009-07-02,17.404507,19.081669,31.18346,17.707367,40.761478,16.175455,9.146754,9.82506,36.73299
2009-07-06,17.22924,20.152712,30.977262,17.761703,41.227482,16.215164,9.299021,9.886129,37.494808
2009-07-07,16.83024,19.390127,29.816372,17.389078,40.943512,16.096039,9.173627,9.899699,37.307949
2009-07-08,17.056465,19.467241,30.205898,17.590927,41.56242,16.053011,9.227368,9.913268,37.832603
2009-07-09,16.949566,19.535786,30.014944,17.606443,41.278461,16.119198,9.146754,9.696139,37.667294
2009-07-10,17.218056,19.895657,30.282261,17.482239,41.453217,15.986833,9.18975,9.635074,37.530739
2009-07-13,17.692877,21.009542,30.885605,17.940264,42.028439,16.231718,9.232743,10.015049,38.076965
2009-07-14,17.684185,20.95813,30.862698,18.382744,42.399792,16.311134,9.297233,10.110044,38.479435
2009-07-15,18.257206,23.322985,31.588245,18.693266,42.931347,16.721474,9.481742,10.191464,39.277187
2009-07-16,18.336761,24.23123,32.115231,18.941679,43.142506,16.807524,9.528316,10.225391,39.679657
2009-07-17,18.862543,24.017021,31.588245,19.151278,43.127953,16.651981,9.393966,10.15075,40.189945
2009-07-20,19.006737,24.753902,32.229786,19.252203,43.004162,16.886938,9.463829,10.354308,39.931213
2009-07-21,18.832714,25.173748,32.856056,18.98826,43.317257,16.661913,9.327683,10.652863,39.880905
2009-07-22,19.482805,24.642511,32.077042,19.228912,43.098812,16.258186,9.230949,10.768211,39.750504
2009-07-23,19.617048,25.233721,32.038853,19.624819,43.848797,16.274734,9.161087,10.958199,39.960598
2009-07-24,19.886784,25.285133,32.359612,19.655876,44.78809,16.334297,9.345598,11.182112,40.453224
2009-07-27,19.900452,24.31691,32.260349,19.531662,44.613354,16.387249,9.381427,11.277108,40.409763
2009-07-28,19.888027,23.717134,33.031719,19.710211,44.358505,16.344225,9.47816,10.876776,40.359039
2009-07-29,19.891754,23.777107,33.12336,19.710211,44.533253,16.307831,9.739699,10.686786,40.656063
2009-07-30,20.234823,24.188391,33.024094,20.067312,44.991985,16.43688,10.047815,10.815706,40.735764
2009-07-31,20.309401,24.274075,32.772053,20.137177,44.336658,16.493139,10.146341,10.808925,40.214157
2009-08-03,20.687271,24.548256,33.44413,20.432175,44.489567,16.413729,10.142762,10.883562,40.28661
2009-08-04,20.577888,24.599674,33.726723,20.408886,44.460445,16.380629,10.307569,10.903919,40.177929
2009-08-05,20.523195,26.013445,33.950329,20.439932,44.016266,16.27142,10.214416,10.876505,39.055046
2009-08-06,20.374035,26.827438,35.099232,20.602959,43.63763,16.344225,10.321897,10.821673,37.280132
2009-08-07,20.572912,28.009863,36.0014,21.161892,43.615799,16.327681,10.402514,10.938184,37.693077
2009-08-10,20.47472,27.709974,35.292,21.037683,44.212872,16.360771,10.235909,10.903918,37.794502
2009-08-11,20.239786,26.998804,34.998989,20.874666,43.848797,16.228403,10.173213,10.849089,37.620628
2009-08-12,20.548056,27.247282,35.731514,21.115314,44.118206,16.036467,10.303984,10.86965,37.72929
2009-08-13,20.934626,27.401514,35.947407,21.487938,43.921616,15.923953,10.355933,10.828528,37.888668
2009-08-14,20.730776,27.178738,34.598034,21.068733,43.746864,16.039787,10.185751,10.80797,37.939392
2009-08-17,19.837057,26.039154,34.050568,20.269148,43.557537,16.115892,9.931377,10.883356,37.823471
2009-08-18,20.38522,27.153032,33.757572,20.905716,43.542965,16.086113,9.96183,10.951886,37.997349
2009-08-19,20.459799,27.1616,33.557087,20.765985,43.958031,16.334297,10.169628,11.219179,38.250904
2009-08-20,20.674845,27.864204,34.497799,20.711639,44.380344,16.354151,10.210831,11.12323,38.410275
2009-08-21,21.034067,28.146961,35.369102,21.348206,44.798748,16.516308,9.968995,11.404223,38.815971
2009-08-24,21.014181,27.992733,36.340656,20.983345,44.982262,16.235025,10.031698,11.465904,38.642101
2009-08-25,21.056442,28.121248,37.204269,21.208469,44.879501,16.129131,9.881219,11.513878,38.685566
2009-08-26,20.809088,28.395437,36.872688,21.402542,44.505138,16.274734,9.933169,11.493319,38.656601
2009-08-27,21.062658,29.098049,39.956985,21.387018,44.402374,16.360771,10.180379,11.555003,38.439255
2009-08-28,21.137236,29.337955,39.355556,21.495707,44.255562,16.235025,10.063938,11.520727,38.533424
2009-08-31,20.908531,28.978086,38.299183,21.185181,44.365669,16.139055,9.922422,11.445343,39.199924
2009-09-01,20.546808,27.401514,37.605213,20.930786,43.998638,16.059637,9.737911,11.22603,38.410275
2009-09-02,20.5319,27.375807,37.319931,20.766405,43.86652,16.4799,9.549816,11.157498,38.250904
2009-09-03,20.702185,27.812801,37.366184,21.056026,43.815128,16.407103,9.809053,11.020426,38.301609
2009-09-04,21.169554,28.138391,37.898232,21.157787,44.27758,16.529549,9.900332,11.232884,38.294376
2009-09-08,21.495226,28.695332,38.168106,21.510023,44.461079,16.68177,10.084722,11.109521,39.265129
2009-09-09,21.272728,29.209433,38.962307,21.431746,44.71801,16.754568,10.104803,11.082106,38.946373
2009-09-10,21.449228,29.475058,38.931473,21.549162,44.527164,16.738029,10.117581,11.198615,40.598118
2009-09-11,21.399515,29.277988,39.594589,21.40044,44.350979,17.326677,10.039081,11.136935,40.308327
2009-09-14,21.593416,29.063761,39.301567,21.533503,44.292252,17.545317,10.024474,11.212326,40.062023
2009-09-15,21.772411,29.689262,40.149754,21.455227,44.152802,17.642872,9.984312,11.109521,39.866409
2009-09-16,22.606472,30.708895,40.373379,21.964012,44.18214,17.716875,10.43889,11.253445,40.069271
2009-09-17,22.939594,29.989153,40.774334,21.854431,44.607914,17.969154,10.605023,11.184908,40.228638
2009-09-18,22.998013,29.792072,40.882263,22.09709,44.615242,18.083525,10.696305,11.315123,41.525406
2009-09-21,22.873714,28.926678,40.758896,22.026636,44.534492,17.827877,10.688997,11.404223,41.366016
2009-09-22,22.930889,29.106611,40.974808,21.619604,44.835453,17.777424,10.692651,11.513878,41.467449
2009-09-23,23.057673,28.789577,40.381062,21.408264,44.607914,17.6866,10.643362,11.2603,41.474697
2009-09-24,22.84885,29.00379,39.933865,21.165611,44.571194,17.605867,10.619627,11.267154,41.902115
2009-09-25,22.668615,28.335457,39.725666,21.016884,44.497799,17.817789,10.705433,11.239737,42.025272
2009-09-28,23.138468,29.483614,40.920834,21.337818,44.974922,17.871611,10.771153,11.356248,42.133934
2009-09-29,23.042759,29.123747,42.115993,21.00124,44.725353,17.93215,10.970148,11.493319,41.952835
2009-09-30,23.039032,29.201279,41.753582,20.852509,44.695984,18.063345,11.811755,11.342542,41.960083
2009-10-01,22.480919,27.960873,40.180599,20.60203,43.903221,17.868248,11.41012,11.178054,41.018295
2009-10-02,22.983089,27.986706,39.633144,20.375031,43.844505,18.120523,11.322491,11.068399,41.112473
2009-10-05,23.122313,28.615528,40.31168,20.468962,43.910549,18.096973,11.461237,11.239737,41.061764
2009-10-06,23.618269,28.873943,40.319393,20.578547,44.255562,18.2719,11.517831,11.500167,41.315315
2009-10-07,23.648098,29.278801,39.933865,20.461132,44.563866,18.436718,11.578076,11.438488,41.257359
2009-10-08,23.526287,30.131575,40.327103,21.048201,44.732689,18.362715,11.687613,11.445343,41.764477
2009-10-09,23.675447,30.09712,40.627827,21.102989,45.319931,18.382898,11.609115,11.596118,41.699268
2009-10-12,23.717709,30.217726,39.833626,21.165611,45.899811,18.429987,11.547041,11.719482,41.655811
2009-10-13,23.619509,30.010981,40.018669,21.549162,44.784065,18.433357,11.62554,11.500167,41.481941
2009-10-14,23.777372,30.226337,40.489033,21.431746,44.446423,18.446808,11.848268,11.904529,41.518181
2009-10-15,23.686636,30.613966,39.910725,21.369127,44.732689,18.473719,11.859223,12.103278,41.467449
2009-10-16,23.374643,30.105734,41.013348,21.337818,44.380341,18.50399,11.884778,12.178668,41.612343
2009-10-19,23.599623,30.786242,41.213837,21.627439,44.894176,18.429987,12.065517,12.32259,41.865902
2009-10-20,24.705893,30.510593,40.01096,21.110817,44.475761,18.187803,11.882952,12.288325,42.112221
2009-10-21,25.471581,30.234934,39.039425,20.60203,44.270237,18.187803,11.820884,11.93194,41.966213
2009-10-22,25.506388,31.389217,39.378674,20.915134,44.732689,18.214708,11.901213,12.034745,42.433411
2009-10-23,25.34977,29.787024,38.468822,20.562889,44.439075,17.908611,11.714999,11.822286,42.075726
2009-10-26,25.168295,30.045429,37.235115,20.429829,44.108753,17.905251,11.638323,11.73319,41.535526
2009-10-27,24.533119,30.967125,36.818718,20.351553,44.057373,17.982615,11.700395,11.829141,41.739922
2009-10-28,23.915344,29.864559,36.410069,19.733179,43.727055,17.999434,11.4229,11.794871,41.776428
2009-10-29,24.40633,31.389217,37.636059,20.281099,43.939922,18.19453,11.631021,12.02789,43.462673
2009-10-30,23.430578,30.010981,36.857277,19.63924,43.345341,17.93215,11.351702,11.671508,42.338509
2009-11-02,23.531263,30.734549,37.219677,19.615761,43.66832,18.070068,11.41012,11.616681,43.03199
2009-11-03,23.461653,31.044657,37.088596,19.5688,43.257267,17.868248,11.439328,11.57556,42.761887
2009-11-04,23.717709,30.975748,37.391953,19.537487,43.690346,17.992701,11.452107,11.713942,43.090378
2009-11-05,24.117956,32.509033,38.714333,20.061928,44.028015,18.298801,11.82271,11.776213,44.141541
2009-11-06,24.156483,32.052483,38.644325,20.414169,44.262909,18.329079,11.7862,11.734696,44.557629
2009-11-09,25.041506,33.637466,39.943367,20.985579,44.59322,18.662092,11.924945,12.059896,45.148899
2009-11-10,25.230438,34.180145,39.142151,20.993401,44.945557,18.773094,11.76977,12.149839,45.156208
2009-11-11,25.264002,34.498856,39.422184,21.376959,44.681313,18.880732,11.853745,12.191357,45.426292
2009-11-12,25.107386,34.025089,39.111057,21.322165,44.886845,18.816816,11.700395,12.191357,44.747417
2009-11-13,25.413157,34.757256,39.422184,21.40044,45.092369,18.991737,11.760642,12.1706,44.973717
2009-11-16,25.684139,35.696186,40.822342,21.643087,45.650253,19.08592,12.06734,12.412764,45.455498
2009-11-17,25.730127,35.627277,40.861244,21.126476,45.635567,19.129654,11.859223,12.412764,45.484692
2009-11-18,25.600855,35.808167,40.46452,21.361296,45.74567,19.032101,11.760642,12.58574,45.55769
2009-11-19,24.923416,35.437771,40.005589,21.220404,45.826416,19.133013,11.603635,12.530385,45.367893
2009-11-20,24.850084,35.256882,40.215603,21.275204,46.100166,19.334835,11.669359,12.703363,45.112408
2009-11-23,25.590912,35.859859,40.939026,21.533503,46.381302,19.590485,11.773417,12.820988,45.791279
2009-11-24,25.411919,35.696186,40.425632,21.572645,46.743832,19.573666,11.778894,12.66877,45.842373
2009-11-25,25.380844,35.937382,41.172394,21.799648,46.832611,19.546753,11.99432,12.862503,45.893475
2009-11-27,24.933365,35.179359,40.799007,21.611784,46.529278,19.509226,11.875651,12.627254,45.608795
2009-11-30,24.848841,36.032135,40.767891,21.416094,46.492275,19.516054,11.846442,12.571901,45.513885
2009-12-01,24.483395,35.575581,41.786903,22.098782,46.98798,19.816303,11.93955,13.042398,45.922672
